Keystone,Metric,QnNum,Questions,Reverse Score
Growth Oriented,Mindset,1,"I have a certain amount of intelligence, and I can't really do much to change it.",Yes
Growth Oriented,Mindset,2,My intelligence is something that I cannot change very much.,Yes
Growth Oriented,Mindset,3,"I believe that no matter who you are, you can significantly change your intelligence level.",No
Growth Oriented,Mindset,4,I believe that you can't really change how intelligent you are.,Yes
Growth Oriented,Mindset,5,I believe that you can always substantially change how intelligent you are.,No
Growth Oriented,Mindset,6,"You can learn new things, but you can't really change your basic intelligence.",Yes
Growth Oriented,Mindset,7,"No matter how much intelligence you have, whether high or low, you can always change it to quite a degree.",No
Growth Oriented,Mindset,8,I can change even my basic intelligence level considerably.,No
Growth Oriented,Mindset,9,"People have a certain amount of talent, and you can't really do much to change it.",Yes
Growth Oriented,Mindset,10,Your talent is something you can't change very much.,Yes
Growth Oriented,Mindset,11,"No matter who you are, you can significantly change your level of talent.",No
Growth Oriented,Mindset,12,"To be honest, you can't really change how much talent you have.",Yes
Growth Oriented,Mindset,13,You can always substantially change how much talent you have.,No
Growth Oriented,Mindset,14,"I can learn new things, but I can't really change my basic level of talent.",Yes
Growth Oriented,Mindset,15,"No matter how much talent you have, you can always change it quite a bit.",No
Growth Oriented,Mindset,16,You can change even your basic talent level considerably.,No
Growth Oriented,Connor Davidson Resilience Scale,1,I can make unpopular or difficult decisions that affect other people if necessary.,No
Growth Oriented,Connor Davidson Resilience Scale,2,I don't think of myself as a strong person when dealing with life's challenges and difficulties.,Yes
Growth Oriented,Connor Davidson Resilience Scale,3,"Under pressure, I stay focused and think clearly.",No
Growth Oriented,Connor Davidson Resilience Scale,4,"I prefer to take the lead in solving problems, rather than letting others make all the decisions.",No
Growth Oriented,Connor Davidson Resilience Scale,5,I feel in control of my life.,No
Growth Oriented,Connor Davidson Resilience Scale,6,I try to see the funny side of things when I am faced with problems.,No
Growth Oriented,Connor Davidson Resilience Scale,7,"Good or bad, I believe that most things happen for a reason.",No
Growth Oriented,Connor Davidson Resilience Scale,8,I don't believe that I can achieve my goals if there are problems.,Yes
Growth Oriented,Connor Davidson Resilience Scale,9,"I work to attain my goals, no matter what problems I encounter along the way.",No
Growth Oriented,Connor Davidson Resilience Scale,10,Having to cope with stress can make me stronger.,No
Confident,Rosenberg Self-Esteem Scale,1,"On a whole, I am satisfied with myself.",No
Confident,Rosenberg Self-Esteem Scale,2,"At times, I think I'm no good at all.",Yes
Confident,Rosenberg Self-Esteem Scale,3,I feel that I have a number of good qualities.,No
Confident,Rosenberg Self-Esteem Scale,4,I am able to do things as well as most people.,No
Confident,Rosenberg Self-Esteem Scale,5,I feel I do not have much to be proud of.,Yes
Confident,Rosenberg Self-Esteem Scale,6,I certainly feel useless at times.,Yes
Confident,Rosenberg Self-Esteem Scale,7,"I feel that I'm a person of worth, at least on an equal plane with others.",No
Confident,Rosenberg Self-Esteem Scale,8,I wish I could have more respect for myself.,Yes
Confident,Rosenberg Self-Esteem Scale,9,"All in all, I am inclined to feel that I am a failure.",Yes
Confident,Rosenberg Self-Esteem Scale,10,I take a positive attitude towards myself.,No
Confident,Generalised Self-Efficacy Scale,1,I can always manage to solve difficult problems if I try hard enough.,No
Confident,Generalised Self-Efficacy Scale,2,"If someone opposes me, I can find means and ways to get what I want.",No
Confident,Generalised Self-Efficacy Scale,3,It is easy for me to stick to my aims and accomplish my goals.,No
Confident,Generalised Self-Efficacy Scale,4,I am confident that I can efficiently deal with unexpected events.,No
Confident,Generalised Self-Efficacy Scale,5,"Thanks to my resourcefulness, I know how to handle unforeseen situations.",No
Confident,Generalised Self-Efficacy Scale,6,I can solve most problems if I invest the necessary effort.,No
