Questions,Reverse Score
"I have a certain amount of intelligence, and I can't really do much to change it.",Yes
My intelligence is something that I cannot change very much.,Yes
"I believe that no matter who you are, you can significantly change your intelligence level.",No
I believe that you can't really change how intelligent you are.,Yes
I believe that you can always substantially change how intelligent you are.,No
"You can learn new things, but you can't really change your basic intelligence.",Yes
"No matter how much intelligence you have, whether high or low, you can always change it to quite a degree.",No
I can change even my basic intelligence level considerably.,No
"People have a certain amount of talent, and you can't really do much to change it.",Yes
Your talent is something you can't change very much.,Yes
"No matter who you are, you can significantly change your level of talent.",No
"To be honest, you can't really change how much talent you have.",Yes
You can always substantially change how much talent you have.,No
"I can learn new things, but I can't really change my basic level of talent.",Yes
"No matter how much talent you have, you can always change it quite a bit.",No
You can change even your basic talent level considerably.,No
I can make unpopular or difficult decisions that affect other people if necessary.,No
I don't think of myself as a strong person when dealing with life's challenges and difficulties.,Yes
"Under pressure, I stay focused and think clearly.",No
"I prefer to take the lead in solving problems, rather than letting others make all the decisions.",No
I feel in control of my life.,No
I try to see the funny side of things when I am faced with problems.,No
"Good or bad, I believe that most things happen for a reason.",No
I don't believe that I can achieve my goals if there are problems.,Yes
"I work to attain my goals, no matter what problems I encounter along the way.",No
Having to cope with stress can make me stronger.,No
"On a whole, I am satisfied with myself.",No
"At times, I think I'm no good at all.",Yes
I feel that I have a number of good qualities.,No
I am able to do things as well as most people.,No
I feel I do not have much to be proud of.,Yes
I certainly feel useless at times.,Yes
"I feel that I'm a person of worth, at least on an equal plane with others.",No
I wish I could have more respect for myself.,Yes
"All in all, I am inclined to feel that I am a failure.",Yes
I take a positive attitude towards myself.,No
I can always manage to solve difficult problems if I try hard enough.,No
"If someone opposes me, I can find means and ways to get what I want.",No
It is easy for me to stick to my aims and accomplish my goals.,No
I am confident that I can efficiently deal with unexpected events.,No
"Thanks to my resourcefulness, I know how to handle unforeseen situations.",No
I can solve most problems if I invest the necessary effort.,No
I can remain calm when facing difficulties because I can rely on my coping abilities.,No
"When I am confronted with a problem, I can usually find several solutions.",No
"If I'm in a bind, I can usually think of something to do.",No
"No matter what comes my way, I'm usually able to handle it.",No
It's fun to learn about unfamiliar subjects.,No
It's fascinating to learn new information.,No
I enjoy exploring new ideas.,No
"If I get to learn something new, I like to find out more.",No
It's fun to discuss abstract concepts.,No
I paint an interesting picture of the future for my group.,No
I'm always seeking new opportunities for my group.,No
I inspire my group with my plan for the future.,No
I have a clear understanding of where we are going.,No
I'm able to get others committed to my dream.,No
I would describe myself as someone who actively seeks as much information as I can in a new situation.,No
"When I am participating in an activity, I tend to get so involved that I lose track of time.",No
I frequently find myself looking for new opportunities to grow as a person.,No
I am not the type of person who probes deeply into new situations or things.,Yes
"When I am actively interested in something, it takes a great deal to interrupt me.",No
My friends would describe me as someone who is 'extremely intense' when in the middle of doing something.,No
"Everywhere I go, I am out looking for new things or experiences.",No
I am sensitive to what others are not saying.,No
I am aware of what others imply but do not say.,No
I understand how others feel.,No
I listen for more than just the spoken words.,No
I assure others that I will remember what they say.,No
I summarise points of agreement and disagreement when appropriate.,No
I keep track of points others make.,No
I assure others that I am listening by using verbal acknowledgements.,No
I assure others that I am receptive to their ideas.,No
I ask questions that show my understanding of others' positions.,No
"I show others that I am listening through my body language (e.g., head nods)",No
How much do you contribute ideas/information/resources?,No
How participatory are you?,No
What is your typical standard of work quality?,No
How well do you manage your time?,No
How much do you support the team?,No
How prepared are you usually?,No
How do you participate in group problem solving?,No
How aware are you of the team dynamics and your impact on the team?,No
How supportive are you in a team?,No
How flexible are you between roles?,No
How self-reflective are you?,No
I am able to finish all my work during a set amount of time.,No
I know all the tasks I have to accomplish for the day.,No
I am able to plan and set goals for my projects.,No
I can set aside distractions and focus on what I am doing.,No
I set up a schedule for tasks and projects to be done.,No
"I would have a hard time sticking with a special, healthy diet.",Yes
I have always tried to eat healthy because it pays off in the long run.,No
I have given up physical pleasure or comfort to reach my goals.,No
"When faced with a physically demanding chore, I always tried to put off doing it.",Yes
I try to consider how my actions will affect other people in the long-term.,No
I do not consider how my behaviour affects other people.,Yes
I try to spend my money wisely.,No
I have always felt like my hard work would pay off in the end.,No
I cannot be trusted with money.,Yes
I cannot motivate myself to accomplish long-term goals.,Yes
